,endTime,artistName,trackName,msPlayed
261,2023-11-10 09:58,Praizee,seven,129933
262,2023-11-10 10:01,bdazzled.,fantasize,145491
263,2023-11-10 10:03,J0pie,Medow,116143
264,2023-11-10 10:05,Brief & Breezy,Foyer,152195
265,2023-11-10 10:08,Slacker Jack's,apple dumplins,145685
266,2023-11-10 10:10,Mozzie,Hometown,120722
267,2023-11-10 10:12,Illum Noyz,Natural Midst,150804
268,2023-11-10 10:14,Wieland & Ulrich,Everything Is Calm,125364
269,2023-11-10 10:16,Marcos Caixa,Air V,134182
270,2023-11-10 10:18,Lofi Lucy,Your Vibe,87313
271,2023-11-10 10:20,Nitta' Gritta',Kyoto Nights,113185
272,2023-11-10 10:21,Tom Doolie,Preciso,102491
273,2023-11-10 10:23,Clifford,Way Out West,120253
274,2023-11-10 10:25,cuttingwood,Laurel Canyon,121349
275,2023-11-10 10:27,Cmd q,Blueprints,130938
276,2023-11-10 10:29,Byz Playground,Sounds From The Park,103523
277,2023-11-10 10:31,love_eight,projection,139605
278,2023-11-10 10:33,Oatmello,Past Times,106162
279,2023-11-10 10:36,Solo San,Moonlight Juice,142350
280,2023-11-10 10:37,Loomington,Fresh 6.8?,116140
281,2023-11-10 10:39,Platinum Dust,Winning At Life,114626
282,2023-11-10 10:42,Breakfast For Brunch,Maca,138870
283,2023-11-10 10:44,titus barnacle,New Growth,142727
284,2023-11-10 10:45,Kurt Stewart,Buzz,90957
285,2023-11-10 10:47,Popcorn Trees,Don’t Forget Me,97376
286,2023-11-10 10:49,Byz Playground,Resurrected,121879
287,2023-11-10 10:51,Saï T,Our Temple,136800
288,2023-11-10 10:53,Flacvih,avant garde,116990
289,2023-11-10 10:55,Lucavietski,We Are Love,98171
290,2023-11-10 10:58,Moon Cheese,Inner Peace,188075
291,2023-11-10 11:00,Grill Hensler,Slay,129431
292,2023-11-10 11:01,billsbeats,Enjoy,68869
293,2023-11-10 19:57,Nekfeu,Ciel noir,3993
294,2023-11-10 20:00,Nekfeu,L'air du temps,171626
295,2023-11-10 20:04,Nekfeu,De mon mieux,228413
296,2023-11-10 20:08,Nekfeu,Le bruit qui court,240906
297,2023-11-10 20:12,Nekfeu,Elle pleut,286520
298,2023-11-10 20:16,Nekfeu,Dans l'univers,244320
299,2023-11-10 20:19,Nekfeu,Premier pas,153986
300,2023-11-10 20:22,Nekfeu,Dernier soupir,213920
301,2023-11-10 20:27,Nekfeu,Tricheur,248466
