,endTime,artistName,trackName,msPlayed
8864,2023-11-23 08:07,Dusty Springfield,Spooky,164173
8865,2023-11-23 08:10,Leo Roi,Xanax,186409
8866,2023-11-23 08:12,Spider ZED,Tous les gens,147300
8867,2023-11-23 08:16,ascendant vierge,Influenceur,211559
8868,2023-11-23 08:19,roland decembre,Succès fou,206842
8869,2023-11-23 08:23,Valentino Vivace,L'equilibrio,4350
8870,2023-11-23 08:23,Phoenix,If I Ever Feel Better,218339
8871,2023-11-23 08:25,Favé,VIBES,134440
8872,2023-11-23 08:28,Juliette Armanet,Je ne pense qu'à ça,163840
8873,2023-11-23 08:29,Valentino Vivace,L'equilibrio,87210
8874,2023-11-23 08:36,Laurent Voulzy,Cocktail chez mademoiselle,394066
8875,2023-11-23 08:40,Juliette Armanet,Sauver Ma Vie,263440
8876,2023-11-23 08:42,Niska,Jota,860
8877,2023-11-23 08:42,Juliette Armanet,Flamme,1040
8878,2023-11-23 08:42,Juliette Armanet,L’Épine,620
8879,2023-11-23 08:42,Flavien Berger,Maddy La Nuit,1200
8880,2023-11-23 08:42,Clara Luciani,Nue,1320
8881,2023-11-23 08:42,Leo Roi,Xanax,106414
8882,2023-11-23 08:45,Favé,DERNIERE CHANCE,192320
8883,2023-11-23 08:48,Favé,GMAIL,179973
8884,2023-11-23 08:50,Juliette Armanet,Sauver Ma Vie,135532
8885,2023-11-23 08:52,Favé,VIBES,134440
8886,2023-11-23 08:55,Favé,Mode Avion,1600
8887,2023-11-23 08:55,Favé,Urus,147788
8888,2023-11-23 08:55,ABBA,Under Attack,1090
8889,2023-11-23 08:55,roland decembre,Succès fou,860
8890,2023-11-23 08:55,Dusty Springfield,Spooky,810
8891,2023-11-23 08:55,Juliette Armanet,L’Épine,4042
8892,2023-11-23 08:55,Clara Luciani,Nue,2800
8893,2023-11-23 08:55,Leo Roi,Xanax,1080
8894,2023-11-23 08:55,Juliette Armanet,Sauver Ma Vie,700
8895,2023-11-23 08:57,Phoenix,If I Ever Feel Better,128580
8896,2023-11-23 09:01,Juliette Armanet,La Nuit,13540
8897,2023-11-23 09:01,Juliette Armanet,L'Indien,1080
8898,2023-11-23 09:01,Hamza,Late Nights,203994
8899,2023-11-23 09:01,Emma Peters,Le temps passe - Rework,1200
8900,2023-11-23 09:01,Miel De Montagne,Calvin,790
8901,2023-11-23 09:01,Bibi Flash,Histoire d'un soir (Bye bye les galères) - Blutch Radio Edit,30531
8902,2023-11-23 09:03,Miel De Montagne,Le Tuto,123150
8903,2023-11-23 13:12,Favé,Urus,820
8904,2023-11-23 13:12,Mr GISCARD,JVP,59610
8905,2023-11-23 13:15,Favé,VIBES,134440
8906,2023-11-23 13:16,Mr GISCARD,JVP,90685
8907,2023-11-23 13:16,Phoenix,If I Ever Feel Better,1270
8908,2023-11-23 13:19,Favé,GMAIL,179973
8909,2023-11-23 13:21,Dusty Springfield,Spooky,129172
8910,2023-11-23 16:44,The Ronettes,Be My Baby,22613
8911,2023-11-23 16:47,Sexy Sushi,Sex Appeal,174200
8912,2023-11-23 16:47,Sexy Sushi,Oublie moi,1300
8913,2023-11-23 16:49,Sexy Sushi,Princesse voiture,169493
8914,2023-11-23 16:52,Sexy Sushi,J'aime mon pays - Fräulein Warrior Version,147015
8915,2023-11-23 16:55,Sexy Sushi,Toutes Comme Moi,2625
8916,2023-11-23 16:55,Sexy Sushi,La fille à la tête de dinde,183813
8917,2023-11-23 16:57,Sexy Sushi,Princesse voiture,134750
8918,2023-11-23 17:02,Sexy Sushi,Princesse voiture,169493
