listener,trackID,msPlayed
Ambre,T553,301989
Ambre,T554,231446
Ambre,T555,201707
Ambre,T556,810537
Ambre,T557,416842
Ambre,T558,189493
Ambre,T559,238893
Ambre,T560,211204
Ambre,T561,270408
Ambre,T5025,270408
Arnaud,T562,206533
Fanny,T559,1197357
Fanny,T563,205339
Ambre,T564,182750
Ambre,T565,264832
Ambre,T566,199895
Ambre,T567,275407
Ambre,T568,300219
Ambre,T569,239000
Ambre,T570,479433
Ambre,T571,232221
Ambre,T572,336000
Ambre,T573,585516
Ambre,T574,187836
Ambre,T575,279616
Ambre,T576,318155
Olivier,T577,1630183
Ambre,T578,189628
Ambre,T579,836300
Ambre,T580,218666
Ambre,T581,302035
Ambre,T582,297658
Ambre,T583,242035
Fanny,T584,1422150
Fanny,T585,2959214
Fanny,T586,818027
Ambre,T587,415100
Ambre,T588,197702
Ambre,T589,431550
Ambre,T590,339394
Ambre,T591,180933
Ambre,T592,411733
Ambre,T593,298899
Ambre,T594,1593731
Ambre,T595,281380
Ambre,T596,258712
Ambre,T597,1252229
Ambre,T598,626028
Ambre,T599,798353
Ambre,T600,2249398
Ambre,T601,1214666
Ambre,T602,2844309
Arnaud,T603,194507
Fanny,T604,2489577
Fanny,T591,840208
Fanny,T601,1924631
Fanny,T605,237697
Olivier,T606,1242665
Olivier,T607,21488920
Ambre,T608,411796
Elwin,T609,1063670
Ambre,T610,3458364
Ambre,T611,4601938
Ambre,T612,2450593
Ambre,T613,4231887
Ambre,T614,2581115
Ambre,T615,1289280
Ambre,T616,572456
Ambre,T617,2938969
Ambre,T618,3436524
Ambre,T619,3621729
Ambre,T620,554699
Ambre,T621,5518199
Ambre,T622,5447101
Ambre,T623,7648897
Ambre,T624,4950815
Fanny,T610,1512633
Fanny,T611,198993
Fanny,T612,745626
Fanny,T614,1452960
Fanny,T613,322173
Fanny,T617,554598
Fanny,T618,246458
Ambre,T625,184893
Ambre,T626,454518
Ambre,T2364,454518
Ambre,T627,265492
Ambre,T628,235893
Ambre,T629,271930
Ambre,T630,382840
Ambre,T631,331948
Ambre,T632,403749
Ambre,T633,276996
Ambre,T634,283840
Ambre,T635,325847
Ambre,T636,288000
Ambre,T637,217093
Ambre,T638,859430
Ambre,T639,558988
Ambre,T640,231478
Ambre,T642,231478
Fanny,T638,9983519
Fanny,T29,841121
Fanny,T641,841121
Olivier,T638,213731
Olivier,T640,18497916
Olivier,T642,18497916
Ambre,T643,211213
Ambre,T644,898594
Ambre,T645,189440
Ambre,T646,182920
Ambre,T647,218200
Fanny,T648,257786
Ambre,T649,413589
Ambre,T650,341146
Ambre,T651,709305
Arnaud,T652,361026
Arnaud,T653,219277
Arnaud,T654,269186
Arnaud,T651,460906
Elwin,T653,275258
Elwin,T651,231223
Fanny,T653,402170
Fanny,T655,251940
Fanny,T656,1976262
Olivier,T657,230026
Olivier,T658,215953
Olivier,T651,4607017
Olivier,T659,494452
Olivier,T660,1750854
Olivier,T661,477291
Olivier,T662,235653
Ambre,T663,365069
Ambre,T664,420306
Ambre,T665,632000
Ambre,T666,212314
Ambre,T667,305920
Ambre,T668,670132
Ambre,T669,242750
Ambre,T670,244000
Ambre,T671,406374
Ambre,T672,249800
Ambre,T673,342490
Ambre,T674,309036
Ambre,T675,244324
Ambre,T676,356532
Ambre,T677,349600
Ambre,T678,311600
Ambre,T679,506452
Ambre,T680,566319
Ambre,T681,326336
Ambre,T682,1708910
Ambre,T683,351252
Ambre,T684,1056720
Ambre,T685,197972
Ambre,T686,668834
Fanny,T678,44576573
Fanny,T687,442817
Fanny,T679,33875042
Fanny,T680,15914778
Fanny,T688,15645887
Fanny,T681,816223
Fanny,T689,7931918
Fanny,T682,5220747
Fanny,T683,10086344
Fanny,T684,3125786
Fanny,T690,303145
Fanny,T691,992190
Fanny,T692,704341
Fanny,T685,1779766
Fanny,T693,339358
Fanny,T686,27992486
Ambre,T694,218679
Arnaud,T695,235021
Arnaud,T696,236918
Arnaud,T697,198000
Arnaud,T698,391605
Arnaud,T699,261182
Arnaud,T700,199586
Arnaud,T701,243866
Fanny,T695,235021
Ambre,T702,210285
Ambre,T703,1186921
Ambre,T704,1106961
Fanny,T704,369356
Ambre,T705,234973
Ambre,T5157,234973
Ambre,T706,185715
Ambre,T707,195840
Ambre,T708,516157
Ambre,T709,196160
Arnaud,T710,193160
Arnaud,T711,255459
Arnaud,T709,392320
Ambre,T712,971106
Ambre,T713,757235
Olivier,T714,1270841
Ambre,T715,273915
Ambre,T716,706244
Fanny,T716,282921
Ambre,T717,202597
Ambre,T718,197551
Ambre,T719,498021
Ambre,T720,330439
Ambre,T721,341232
Ambre,T722,213980
Ambre,T723,265500
Ambre,T724,242303
Ambre,T725,224000
Ambre,T726,195000
Ambre,T4053,195000
Ambre,T727,750683
Ambre,T728,462384
Ambre,T729,887337
Ambre,T730,644000
Ambre,T731,299960
Ambre,T732,1002486
Ambre,T733,588250
Ambre,T2133,588250
Ambre,T734,373060
Arnaud,T735,407957
Ambre,T736,184118
Ambre,T737,286533
Ambre,T738,1693605
Ambre,T739,599553
